City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Hithadhoo,MV,-0.6,73.0833,82.63,68,100,14.79,overcast clouds
244,Awbari,LY,26.5921,12.7805,60.4,15,68,6.06,broken clouds
245,Yerbogachen,RU,61.2767,108.0108,-7.01,93,100,7.4,overcast clouds
246,Lavrentiya,RU,65.5833,-171.0,-29.27,93,50,10.49,scattered clouds
247,Bontang,ID,0.1333,117.5,83.82,67,61,8.28,broken clouds
248,Berlevag,NO,70.8578,29.0864,23.0,80,0,24.16,clear sky
249,Codrington,AU,-38.2667,141.9667,87.4,20,59,12.44,broken clouds
250,Kenai,US,60.5544,-151.2583,25.14,86,100,16.24,overcast clouds
251,Goreloye,RU,52.937,41.5043,32.88,99,100,9.19,light snow
252,Shieli,KZ,44.1667,66.75,36.23,66,93,3.65,overcast clouds
253,Dingle,PH,10.9995,122.6711,83.01,70,92,13.33,overcast clouds
254,Vila Do Maio,CV,15.1333,-23.2167,65.19,76,0,11.99,clear sky
255,Gisborne,NZ,-38.6533,178.0042,68.95,93,100,4.7,overcast clouds
256,Carbonia,IT,39.1672,8.5222,38.05,60,2,4.97,clear sky
257,Vestmannaeyjar,IS,63.4427,-20.2734,30.34,80,100,40.82,snow
258,Arbazh,RU,57.6804,48.3065,16.21,94,82,8.14,broken clouds
259,Krasnyy Chikoy,RU,50.3643,108.7512,21.92,82,97,1.01,overcast clouds
260,Shagonar,RU,51.5333,92.8,1.72,84,55,1.54,broken clouds
261,Coruripe,BR,-10.1256,-36.1756,79.88,70,88,9.08,overcast clouds
262,Lagunas,PE,-5.2269,-75.6753,70.86,100,100,0.58,overcast clouds
263,Oum Hadjer,TD,13.2954,19.6966,73.65,12,1,10.16,clear sky
264,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,4.61,scattered clouds
265,Concepcion,CL,-36.827,-73.0498,55.2,94,0,4.61,clear sky
266,Itoman,JP,26.1247,127.6694,69.4,72,40,25.32,scattered clouds
267,Sezemice,CZ,50.0665,15.8527,38.44,74,0,11.99,clear sky
268,Cabo San Lucas,MX,22.8909,-109.9124,67.51,55,0,4.21,clear sky
269,Geraldton,AU,-28.7667,114.6,81.01,39,0,23.02,clear sky
270,Lucapa,AO,-8.4192,20.7447,73.13,82,100,3.06,moderate rain
271,Longyearbyen,SJ,78.2186,15.6401,19.24,86,100,12.66,light snow
272,Ahuimanu,US,21.4447,-157.8378,74.46,72,15,5.01,few clouds
273,Makakilo City,US,21.3469,-158.0858,73.29,70,4,14.18,clear sky
274,Kushmurun,KZ,52.4503,64.6311,27.3,94,99,16.26,light snow
275,Moose Factory,CA,51.2585,-80.6094,-18.4,76,0,1.14,clear sky
276,Mahajanga,MG,-15.7167,46.3167,77.02,94,75,12.66,moderate rain
277,Kharp,RU,66.8014,65.8081,-3.44,99,100,3.13,overcast clouds
278,Freetown,SL,8.484,-13.2299,76.26,82,97,4.03,overcast clouds
279,Tautira,PF,-17.7333,-149.15,82.42,81,85,20.71,light rain
280,Ponta Do Sol,PT,32.6667,-17.1,63.23,62,0,8.23,clear sky
281,Were Ilu,ET,10.6,39.4333,61.92,49,95,3.6,overcast clouds
282,Bandarbeyla,SO,9.4942,50.8122,79.21,59,59,17.85,broken clouds
283,Port Hedland,AU,-20.3167,118.5667,86.05,74,40,11.5,scattered clouds
284,Bras-Panon,RE,-20.9967,55.6782,83.86,95,100,9.22,light rain
285,Ahipara,NZ,-35.1667,173.1667,73.92,95,34,7.02,scattered clouds
286,Puerto Del Rosario,ES,28.5004,-13.8627,67.68,48,0,5.75,clear sky
