City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Norman Wells,CA,2022-02-03 08:52:41,65.282,-126.8329,-36.36,67,40,4.61
166,Sao Filipe,CV,2022-02-03 08:52:42,14.8961,-24.4956,73.47,76,0,10.25
167,Snasa,NO,2022-02-03 08:52:43,64.2457,12.3778,18.81,91,100,7.02
168,Suhbaatar,MN,2022-02-03 08:52:44,50.2314,106.2078,2.61,92,87,3.24
169,Husavik,IS,2022-02-03 08:52:45,66.0449,-17.3389,10.31,93,100,9.22
170,Tuatapere,NZ,2022-02-03 08:52:46,-46.1333,167.6833,55.81,67,100,6.89
171,Airai,TL,2022-02-03 08:52:47,-8.9266,125.4092,66.04,84,79,3.36
172,Salalah,OM,2022-02-03 08:52:48,17.0151,54.0924,86.74,26,0,15.23
173,Mar Del Plata,AR,2022-02-03 08:52:49,-38.0023,-57.5575,71.1,86,100,3.0
174,Charters Towers,AU,2022-02-03 08:52:49,-20.1,146.2667,76.62,90,100,15.61
175,Khorixas,NA,2022-02-03 08:52:50,-20.3667,14.9667,77.32,32,0,1.88
176,Guerrero Negro,MX,2022-02-03 08:52:51,27.9769,-114.0611,54.7,31,0,6.29
177,Tura,IN,2022-02-03 08:52:52,25.5198,90.2201,74.17,34,54,1.52
178,Aklavik,CA,2022-02-03 08:52:53,68.2191,-135.0107,-22.97,97,100,5.26
179,Baiyin,CN,2022-02-03 08:52:54,36.5583,104.2081,34.68,26,0,12.21
180,Albury,AU,2022-02-03 08:52:55,-36.0833,146.9167,66.74,94,2,8.01
181,Batagay-Alyta,RU,2022-02-03 08:52:55,67.8006,130.4114,-22.23,94,85,4.07
182,Vardo,NO,2022-02-03 08:52:56,70.3705,31.1107,26.8,61,100,17.78
183,Bodden Town,KY,2022-02-03 08:52:57,19.2833,-81.25,75.92,78,0,1.99
184,Lagoa,PT,2022-02-03 08:52:58,39.05,-27.9833,57.36,74,9,8.84
185,Korla,CN,2022-02-03 08:52:59,41.7597,86.1469,33.12,35,98,7.78
186,Krasnodon,UA,2022-02-03 08:53:00,48.2923,39.7373,38.57,90,100,15.28
